"TABLA";"IP";"FLAG_RG"
"DBF_MDS_000_CA01";"10.130.19.101";1
"DBF_MDS_000_CA02";"10.130.19.102";1
"DBF_MDS_000_CA03";"10.130.19.103";1
"DBF_MDS_000_CA04";"10.130.19.104";1
"DBF_MDS_000_CA05";"10.130.19.105";1
"DBF_MDS_000_CA06";"10.130.19.106";1
"DBF_PLN_000_CA01";"10.110.19.237";1
"DBF_PLN_000_CA02";"10.110.19.239";1
"DBF_PLN_000_CA03";"10.110.19.240";1
"DBF_PLN_000_CA04";"10.110.19.241";0
"DBF_PLN_000_CA05";"10.110.19.242";1
"LIB_GTT_DMB_CA01";"10.110.21.164";1
"LIB_GTT_EMB_CA01";"10.110.23.99";1
"LIB_GTT_EMB_CA02";"10.110.23.130";1
"LIB_GTT_FOT_CA01";"10.110.19.89";0
"LIB_GTT_P01_CA01";"10.110.23.133";1
"LIB_MDS_P03_CA01";"10.130.19.205";1
"LIB_MDS_P03_CA02";"10.130.19.70";1
"LIB_MDS_PBA_CA01";"10.130.19.82";1
"LIB_PLN_ADU_CA01";"10.110.19.88";1
"LIB_PLN_INF_CA01";"10.110.19.87";1
"MED_MDS_PCO_CA01";"10.130.19.221";0
"MED_MDS_PCO_CA02";"10.130.19.222";0
"MED_MDS_RES_CA01";"10.130.19.252";0
"MED_MDS_RES_CA02";"10.130.19.196";0
"MED_MDS_RES_MO01";"10.130.19.208";0
"MED_MDS_RES_MO02";"10.130.19.206";0
"MED_MDS_RES_MO04";"10.130.19.204";0
"MED_PLN_RES_CA01";"10.120.10.10";0
"MED_PLN_RES_CA02";"10.120.10.13";0
"MED_PLN_RES_MO01";"10.120.10.16";0
"MED_PLN_RES_MO02";"10.120.10.15";0
"MOD_GTT_000_CA01";"10.110.21.219";1
"MOD_MDS_P01_CA01";"10.130.19.21";1
"MOD_MDS_P01_CA02";"10.242.2.26";0
"MOD_MDS_P02_CA01";"10.130.19.60";1
"MOD_MDS_PBA_CA01";"10.130.19.64";1
"MOD_PLN_P01_CA01";"10.110.19.162";1
"MOD_PLN_P02_CA01";"10.110.19.163";1
"PAN_MDS_000_CA01";"10.130.19.38";1
"PAN_MDS_000_CA02";"10.130.19.39";1
"PAN_MDS_000_CA03";"10.110.21.79";0
"PAN_MDS_000_CA04";"10.130.19.41";0
"PAN_MDS_000_CA05";"10.130.19.42";1
"PAN_PLN_000_CA01";"10.110.19.131";1
"PAN_PLN_000_CA02";"10.110.19.132";1
"PAN_PLN_000_CA03";"10.110.19.133";1
"PAN_PLN_000_CA04";"10.110.19.136";0
"PAN_PLN_000_CA05";"10.110.19.135";0
